# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 16 07:48:29 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
#
pl_name,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_dens
11 Com b,323.21000000000,12.20000000,4914.89848585,Msini,14.900000
11 UMi b,516.21997000000,12.30000000,4684.81420000,Msini,13.800000
14 And b,186.76000000000,13.10000000,1131.15130051,Msini,2.760000
14 Her b,1765.03890000000,12.60000000,2559.47216157,Mass,7.030000
16 Cyg B b,798.50000000000,13.50000000,565.73740000,Msini,1.260000
17 Sco b,578.38000000000,12.90000000,1373.01871824,Msini,3.510000
18 Del b,982.85000000000,12.50000000,2926.24614325,Msini,8.230000
1RXS J160929.1-210524 b,,18.64700000,3000.00000000,Mass,2.540000
24 Boo b,30.33000000000,13.90000000,280.64248338,Msini,0.574000
24 Sex b,452.80000000000,13.40000000,632.46000000,Msini,1.440000
24 Sex c,883.00000000000,13.90000000,273.32000000,Msini,0.559000
2M0437 b,,13.00000000,1271.31362800,Mass,3.180000
2MASS J01033563-5515561 AB b,,12.30000000,4131.79000000,Mass,12.200000
2MASS J01225093-2439505 b,,11.20900000,7786.50000000,Mass,30.400000
2MASS J02192210-3925225 b,,16.14096000,4417.83700000,Mass,5.770000
2MASS J0249-0557 c,,12.40000000,3686.80952120,Mass,10.600000
2MASS J03590986+2009361 b,,12.20000000,5720.91132600,Mass,17.300000
2MASS J04414489+2301513 b,,12.60000000,2383.60000000,Mass,6.550000
2MASS J11011926-7732383 b,,11.90000000,8899.19539600,Mass,29.000000
2MASS J11550485-7919108 b,,12.10000000,6356.56814000,Mass,19.700000
2MASS J12073346-3932539 b,,12.90000000,1589.15000000,Mass,4.070000
2MASS J19383260+4603591 b,406.00000000000,13.40000000,603.87700000,Mass,1.380000
2MASS J21252752-8138278 b,,12.40000000,3813.94088400,Mass,11.000000
2MASS J22362452+4751425 b,,12.30000000,3972.87500000,Mass,11.700000
30 Ari B b,335.10001000000,12.30000000,4392.41060000,Msini,13.000000
4 UMa b,270.27000000000,12.60000000,2511.48007211,Msini,6.900000
47 UMa b,1078.00000000000,13.20000000,804.08000000,Msini,1.920000
47 UMa c,2391.00000000000,14.20000000,171.62100000,Msini,0.329000
47 UMa d,14002.00000000000,13.50000000,521.22000000,Msini,1.160000
51 Eri b,9100.00000000000,,3464.32963630,Mass,
51 Peg b,4.23078500000,14.30000000,146.20180000,Mass,0.275000
55 Cnc b,14.65160000000,13.90000000,263.97850000,Mass,0.540000
55 Cnc c,44.39890000000,8.51000000,54.47380000,Mass,0.486000
55 Cnc d,5574.20000000000,13.00000000,1232.49300000,Mass,3.080000
55 Cnc e,0.73654740000,1.87500000,7.99000000,Mass,6.660000
55 Cnc f,259.88000000000,7.59000000,44.81200000,Mass,0.563000
6 Lyn b,919.86000000000,13.40000000,597.83523357,Msini,1.370000
61 Vir b,4.21500000000,2.11000000,5.10000000,Msini,2.980000
61 Vir c,38.02100000000,4.46000000,18.20000000,Msini,1.130000
61 Vir d,123.01000000000,5.11000000,22.90000000,Msini,0.943000
7 CMa b,735.10000000000,13.40000000,587.98550000,Msin(i)/sin(i),1.340000
7 CMa c,996.00000000000,13.90000000,276.51210000,Msin(i)/sin(i),0.566000
70 Vir b,116.68800000000,12.60000000,2380.45000000,Mass,6.540000
75 Cet b,696.62000000000,13.30000000,787.89662095,Msini,1.840000
75 Cet c,2051.62000000000,13.90000000,289.85950718,Msini,0.593000
8 UMi b,93.40000000000,13.60000000,416.35730000,Msini,0.910000
81 Cet b,1005.57000000000,13.10000000,1051.05854195,Msini,2.570000
91 Aqr b,181.40000000000,13.10000000,1017.00000000,Msini,2.490000
AB Aur b,,12.50000000,2860.45566300,Mass,8.050000
AB Pic b,,12.30000000,4290.50000000,Mass,12.700000
AF Lep b,8030.00000000000,13.10000000,1017.05090240,Mass,2.490000
AT2021ueyL b,4168.69000000000,13.60000000,425.89006538,Mass,0.930000
AU Mic b,8.46308000000,3.95677019,20.12000000,Mass,1.320000
AU Mic c,18.85969000000,2.52202066,9.60000000,Mass,1.220000
AU Mic d,12.73596000000,1.02000000,1.05300000,Mass,5.450000
AU Mic e,33.11000000000,4.87000000,21.10000000,Mass,1.000000
BD+03 2562 b,481.90000000000,12.70000000,2034.11200000,Msini,5.460000
BD+05 4868 A b,1.27186900000,,6.20000000,Mass,
BD+14 4559 b,268.94000000000,13.80000000,330.54320000,Msini,0.691000
BD+15 2375 b,153.22000000000,13.80000000,337.21763000,Msini,0.705000
BD+15 2940 b,137.48000000000,13.70000000,352.78000000,Msini,0.754000
BD+20 2457 b,379.63000000000,12.10000000,6807.63000000,Msini,21.100000
BD+20 2457 c,621.99000000000,12.40000000,3963.17000000,Msini,11.400000
BD+20 274 b,578.20000000000,13.00000000,1334.88600000,Msini,3.340000
BD+20 594 b,41.68550000000,2.57807000,22.24810000,Mass,7.890000
BD+45 564 b,307.88000000000,13.60000000,432.24663352,Msini,0.944000
BD+48 738 b,392.60000000000,13.90000000,289.22530000,Msini,0.592000
BD+48 740 b,733.00000000000,13.50000000,540.31100000,Msini,1.210000
BD+49 828 b,2590.00000000000,13.50000000,508.50000000,Msini,1.140000
BD+55 362 b,265.59000000000,14.00000000,228.83645304,Msini,0.458000
BD+60 1417 b,,14.68376472,4767.42610500,Mass,8.270000
BD+63 1405 b,1198.48000000000,12.40000000,3305.41543280,Mass,9.530000
BD-06 1339 b,3.87280000000,2.85000000,8.50000000,Msini,2.020000
BD-06 1339 c,125.94000000000,8.38000000,53.00000000,Msini,0.495000
BD-08 2823 b,5.60000000000,3.61000000,12.71320000,Msini,1.480000
BD-08 2823 c,237.60000000000,12.50000000,104.00000000,Msini,0.293000
BD-10 3166 b,3.48777000000,14.10000000,187.51970000,Msini,0.368000
BD-11 4672 b,1634.00000000000,14.10000000,206.58950000,Msini,0.405000
